age_description,jaw_description,eyes_description,hair_description,nose_description,race_description,beard_description,gender_description,eyebrows_description,expression_description,additionalInfo_description,Attractive_og_img,Race_og_img,Memorable_og_img,Filename_og_img,AWSFile_og_img,ParticipantId,Task Data,Submitted Data,Age,Education,Sex,Occupation Field,Relationship/Marital Status,Political Party,Gender,Country Of Residence,Household Income,Race,Employment Status
late 30's,Angular,Large brown,Short red,small nostrils and long bridge,white,None,female,Thin red,smiling,Slightly puffy under eye bags,3.0,1.0,3.0,Google_1_Jennie Conn_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Jennie%20Conn_1_oval.jpg,71B1CA6FF2734024BCE145CD9D04A2CA,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Jennie Conn_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Jennie%20Conn_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":525}","{""Data"":{""taskData"":{""age"":""late 30\u0027s"",""jaw"":""Angular"",""eyes"":""Large brown"",""hair"":""Short red"",""nose"":""small nostrils and long bridge"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thin red"",""expression"":""smiling"",""additionalInfo"":""Slightly puffy under eye bags""}}}",65,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Female,"Science, Technology, Engineering & Mathematics",Divorced,Republican,Woman,United States,"$90,000-$99,999",White,Business Owner
mid-40s,"rounded, chunky","brown, widely spaced","balding, dark brown","large nostrils, quite wide at nostril area compared to bridge",white,"stubble, no beard",male,thick dark brown,smiling,"chin dimple, long ears, beginning wrinkles on forehead",3.0,1.0,1.0,Google_1_Margaret Sipple_13_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Margaret%20Sipple_13_oval.jpg,0D7E358BFF384C8EB131A4BE14C08036,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""1.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Margaret Sipple_13_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Margaret%20Sipple_13_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":526}","{""Data"":{""taskData"":{""age"":""mid-40s"",""jaw"":""rounded, chunky"",""eyes"":""brown, widely spaced"",""hair"":""balding, dark brown"",""nose"":""large nostrils, quite wide at nostril area compared to bridge"",""race"":""white"",""beard"":""stubble, no beard"",""gender"":""male"",""eyebrows"":""thick dark brown"",""expression"":""smiling"",""additionalInfo"":""chin dimple, long ears, beginning wrinkles on forehead""}}}",52,"Associate degree (for example: AA, AS)",Female,Medicine,Married,Republican,Woman,United States,"$100,000-$124,999",White,Full-time
mid 40s,square,small brown,bl,small nostrils round,asian,none,male,thick black,smiling,wearing glasses,2.0,3.0,2.0,Google_1_Marjorie Rule_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Marjorie%20Rule_5_oval.jpg,BF86F5A6613B402B9BF8E9759F1A0817,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""3.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Marjorie Rule_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Marjorie%20Rule_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":527}","{""Data"":{""taskData"":{""age"":""mid 40s"",""jaw"":""square"",""eyes"":""small brown"",""hair"":""bl"",""nose"":""small nostrils round"",""race"":""asian"",""beard"":""none"",""gender"":""male"",""eyebrows"":""thick black"",""expression"":""smiling"",""additionalInfo"":""wearing glasses""}}}",26,"Bachelor's degree (for example: BA, AB, BS)",Male,"Science, Technology, Engineering & Mathematics",In a relationship,Republican,Man,United States,"$70,000-$79,999",Black or African American,Full-time
Mid 30s,"Small
Dimple in chin","Brown medium
Sized
","Medium
Brown shiny","Small round tip
",white,None,female,Thin brown w slight arch ,smiling,Wearing dangling green / blue earrings ,4.0,1.0,3.0,Google_1_Victor Mcdevitt_11_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Victor%20Mcdevitt_11_oval.jpg,55699949039F462FA55AD1E6836BAE54,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Victor Mcdevitt_11_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Victor%20Mcdevitt_11_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":528}","{""Data"":{""taskData"":{""age"":""Mid 30s"",""jaw"":""Small\nDimple in chin"",""eyes"":""Brown medium\nSized\n"",""hair"":""Medium\nBrown shiny"",""nose"":""Small round tip\n"",""race"":""white"",""beard"":""None"",""gender"":""female"",""eyebrows"":""Thin brown w slight arch "",""expression"":""smiling"",""additionalInfo"":""Wearing dangling green / blue earrings ""}}}",49,"Bachelor's degree (for example: BA, AB, BS)",Female,Government & Public Administration,Divorced,Democrat,Woman,United States,"$80,000-$89,999",White,Full-time
40,scruffy,Large ,"Brown, Gray",normal,white,smirk,male,Blue,smiling,long hair,2.0,1.0,2.0,Google_1_Patrick Harkins_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Patrick%20Harkins_9_oval.jpg,507D08C12C2D48E8B376DC58DC56A4BF,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Patrick Harkins_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Patrick%20Harkins_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":532}","{""Data"":{""taskData"":{""age"":""40"",""jaw"":""scruffy"",""eyes"":""Large "",""hair"":""Brown, Gray"",""nose"":""normal"",""race"":""white"",""beard"":""smirk"",""gender"":""male"",""eyebrows"":""Blue"",""expression"":""smiling"",""additionalInfo"":""long hair""}}}",34,"Bachelor's degree (for example: BA, AB, BS)",Male,"Agriculture, Food and Natural Resources",Married,Independent,Man,United States,"$60,000-$69,999",White,Full-time
40,pointed jaw,brown,blonde,large nose,white,none,female,dark medium eyebrows,smiling,small even teeth,3.0,1.0,3.0,Google_1_Terry Elliott_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Terry%20Elliott_3_oval.jpg,95F7C59FBF094A7FBE82790C188F6784,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Terry Elliott_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Terry%20Elliott_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":533}","{""Data"":{""taskData"":{""age"":""40"",""jaw"":""pointed jaw"",""eyes"":""brown"",""hair"":""blonde"",""nose"":""large nose"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""dark medium eyebrows"",""expression"":""smiling"",""additionalInfo"":""small even teeth""}}}",45,"Bachelor's degree (for example: BA, AB, BS)",Female,Other,Married,Democrat,Woman,United States,"$100,000-$124,999",White,Full-time
50s,round jawline ,bright blue,salt and pepper hair - seems to be graying,strong nose ,white,no facial hair ,male,strong grey eyebrows,smiling,no additional details. ,2.0,1.0,3.0,Google_1_Randy Stanger_17_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Randy%20Stanger_17_oval.jpg,5C533D9DF36844478DCFDC802EA665AE,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Randy Stanger_17_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Randy%20Stanger_17_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":534}","{""Data"":{""taskData"":{""age"":""50s"",""jaw"":""round jawline "",""eyes"":""bright blue"",""hair"":""salt and pepper hair - seems to be graying"",""nose"":""strong nose "",""race"":""white"",""beard"":""no facial hair "",""gender"":""male"",""eyebrows"":""strong grey eyebrows"",""expression"":""smiling"",""additionalInfo"":""no additional details. ""}}}",25,"Bachelor's degree (for example: BA, AB, BS)",Female,Arts,Single,Democrat,Woman,United States,"$40,000-$49,999",White,Full-time
"early 50's, or late 40's",round jaw,black eye liner,"brown hair, pulled back, ",round nose,white,"no beard, clear skin ",female,thin brown plucked eyebrows,smiling,"red lipstick, good teeth, round cheeks, smile lines, ",2.0,1.0,2.0,Google_1_Barbara Pierson_5_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Barbara%20Pierson_5_oval.jpg,7E697D77A21C4D83BDB1F04BB5E52CE0,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Barbara Pierson_5_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Barbara%20Pierson_5_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":535}","{""Data"":{""taskData"":{""age"":""early 50\u0027s, or late 40\u0027s"",""jaw"":""round jaw"",""eyes"":""black eye liner"",""hair"":""brown hair, pulled back, "",""nose"":""round nose"",""race"":""white"",""beard"":""no beard, clear skin "",""gender"":""female"",""eyebrows"":""thin brown plucked eyebrows"",""expression"":""smiling"",""additionalInfo"":""red lipstick, good teeth, round cheeks, smile lines, ""}}}",57,"Associate degree (for example: AA, AS)",Female,Retired,Married,Democrat,Woman,United States,"$125,000-$149,999",White,Retired
mid-30s,round fac,brown,dark and shorter,Nothing unordinary normal nose,black,none,female,I did not notice anything particular about them,smiling,Appears to be overweight,3.0,2.0,2.0,Google_1_Nathan Breunig_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Nathan%20Breunig_9_oval.jpg,828E2A52D0464DA7A578F8E46E3DACCB,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Nathan Breunig_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Nathan%20Breunig_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":201}","{""Data"":{""taskData"":{""age"":""mid-30s"",""jaw"":""round fac"",""eyes"":""brown"",""hair"":""dark and shorter"",""nose"":""Nothing unordinary normal nose"",""race"":""black"",""beard"":""none"",""gender"":""female"",""eyebrows"":""I did not notice anything particular about them"",""expression"":""smiling"",""additionalInfo"":""Appears to be overweight""}}}",45,"Some college, but no degree",Male,Other,Married,Independent,Man,United States,"$125,000-$149,999",White,Full-time
teenage-early 20's,square and strong,"Normal sized, light blue pupils","Medium length, matted, brunette","Large nostrils, long stem",white,None,male,Mid thickness and straight,smiling,"Not wearing glass, wearing teeth correction devices on upper row of teeth",3.0,1.0,3.0,Google_1_Leah Hershberger_13_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Leah%20Hershberger_13_oval.jpg,99997F91ABA741E9B493AF5A3DD37848,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Leah Hershberger_13_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Leah%20Hershberger_13_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":536}","{""Data"":{""taskData"":{""age"":""teenage-early 20\u0027s"",""jaw"":""square and strong"",""eyes"":""Normal sized, light blue pupils"",""hair"":""Medium length, matted, brunette"",""nose"":""Large nostrils, long stem"",""race"":""white"",""beard"":""None"",""gender"":""male"",""eyebrows"":""Mid thickness and straight"",""expression"":""smiling"",""additionalInfo"":""Not wearing glass, wearing teeth correction devices on upper row of teeth""}}}",36,"Master's degree (for example: MA, MS, MEng, MEd, MSW, MBA)",Male,Information Technology,Single,Independent,Man,United States,"$10,000-$19,999",White,Unemployed
mid-50s,Rounded,"Beady, ratlike, intellignet",Short straight brunette,"Large nose, average nostrils",white,None,male,Thin,smiling,,2.0,1.0,2.0,Google_1_Charles Mccollum_17_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Charles%20Mccollum_17_oval.jpg,1938D7A0E8B74512AC6DD8AEB952A725,"{""RowData"":[{""CellData"":""2.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Charles Mccollum_17_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Charles%20Mccollum_17_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":537}","{""Data"":{""taskData"":{""age"":""mid-50s"",""jaw"":""Rounded"",""eyes"":""Beady, ratlike, intellignet"",""hair"":""Short straight brunette"",""nose"":""Large nose, average nostrils"",""race"":""white"",""beard"":""None"",""gender"":""male"",""eyebrows"":""Thin"",""expression"":""smiling""}}}",25,"Bachelor's degree (for example: BA, AB, BS)",Male,Education & Training,Single,Democrat,Man,United States,"$40,000-$49,999",Chinese,Full-time
late 30's,pointed,Medium brown,Short wavy brunette,Small pointed,white,none,female,Thin Brown,smiling,None,4.0,1.0,3.0,Google_1_Fannie Slater_9_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Fannie%20Slater_9_oval.jpg,64C5041807494478A37578E871AB2D33,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""3.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Fannie Slater_9_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Fannie%20Slater_9_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":512}","{""Data"":{""taskData"":{""age"":""late 30\u0027s"",""jaw"":""pointed"",""eyes"":""Medium brown"",""hair"":""Short wavy brunette"",""nose"":""Small pointed"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""Thin Brown"",""expression"":""smiling"",""additionalInfo"":""None""}}}",50,"Some college, but no degree",Male,Information Technology,Married,Republican,Man,United States,"$20,000-$29,999",White,Full-time
28,round,"round, brown",short curly dark,rounded,black,facial hair on upper lip,male,thick but groomed,smiling,,3.0,2.0,2.0,Google_1_Ernest Melvin_3_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Ernest%20Melvin_3_oval.jpg,27DA0C17F33947D2B77BDF4787411343,"{""RowData"":[{""CellData"":""3.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""2.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""2.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Ernest Melvin_3_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Ernest%20Melvin_3_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":530}","{""Data"":{""taskData"":{""age"":""28"",""jaw"":""round"",""eyes"":""round, brown"",""hair"":""short curly dark"",""nose"":""rounded"",""race"":""black"",""beard"":""facial hair on upper lip"",""gender"":""male"",""eyebrows"":""thick but groomed"",""expression"":""smiling""}}}",34,"Some college, but no degree",Female,Hospitality & Tourism,In a relationship,Democrat,Woman,United States,"$125,000-$149,999",White,Student
mid 40's,square,large but couldn't see the color,straight light brown,straight,white,none,female,medium,smiling,"No glasses, great teeth and smile",4.0,1.0,4.0,Google_1_Laura Trinidad_1_oval.jpg,https://mturk-1k-images.s3.amazonaws.com/Google_1_Laura%20Trinidad_1_oval.jpg,312642AC1BAC48A98BCA5FF4078B3859,"{""RowData"":[{""CellData"":""4.0"",""ColumnHeader"":""Attractive"",""DataType"":"""",""Position"":0},{""CellData"":""1.0"",""ColumnHeader"":""Race"",""DataType"":"""",""Position"":1},{""CellData"":""4.0"",""ColumnHeader"":""Memorable"",""DataType"":"""",""Position"":2},{""CellData"":""Google_1_Laura Trinidad_1_oval.jpg"",""ColumnHeader"":""Filename"",""DataType"":"""",""Position"":3},{""CellData"":""https://mturk-1k-images.s3.amazonaws.com/Google_1_Laura%20Trinidad_1_oval.jpg"",""ColumnHeader"":""AWSFile"",""DataType"":"""",""Position"":4}],""Position"":504}","{""Data"":{""taskData"":{""age"":""mid 40\u0027s"",""jaw"":""square"",""eyes"":""large but couldn\u0027t see the color"",""hair"":""straight light brown"",""nose"":""straight"",""race"":""white"",""beard"":""none"",""gender"":""female"",""eyebrows"":""medium"",""expression"":""smiling"",""additionalInfo"":""No glasses, great teeth and smile""}}}",70,"Some college, but no degree",Male,Retired,Married,Republican,Man,United States,"$50,000-$59,999",White,Retired
